chave,var1,var2,var3,classificacao
24,55,177,15,B
25,55,177,15,A
26,55,177,15,C
27,55,177,15,B
28,158.5,462,158.5,A
29,158.5,462,158.5,A
30,158.5,462,158.5,A
31,158.5,462,158.5,A
32,158.5,462,158.5,B
33,158.5,462,158.5,B
34,158.5,462,158.5,B
35,158.5,462,158.5,B
36,158.5,462,158.5,B
37,158.5,462,158.5,B
38,19,50,19,B
39,97.5,312,97.5,B
40,97.5,312,97.5,B
41,97.5,312,97.5,B
42,97.5,312,97.5,B
43,97.5,312,97.5,B
44,97.5,312,97.5,B
45,97.5,312,97.5,B
46,19,50,0,D
